objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587742904477352372,5390,40,6,161,436,6,198.17136365,18.1615422,17.970381,16.7437,16.153532,15.87047,15.681598,0.014298,4.473981E-3,3.967255E-3,3.976601E-3,6.328929E-3
587742904477352376,5390,40,6,161,440,6,198.17540956,18.19281045,18.108,16.870253,16.499243,16.323112,16.233282,0.014221,4.591705E-3,4.288667E-3,4.432107E-3,7.757632E-3
587742775639998491,5360,40,6,339,27,6,198.20232327,18.11371255,18.273163,16.766445,16.142653,15.868988,15.748769,0.018865,4.080422E-3,3.686934E-3,3.804133E-3,6.254632E-3
587742775639998497,5360,40,6,339,33,6,198.23934108,18.10898979,17.973467,16.793369,16.984674,17.172606,17.264973,0.015726,4.051907E-3,4.526768E-3,5.705867E-3,0.01408
587742904477352359,5390,40,6,161,423,6,198.17006348,18.18608379,17.772383,15.989662,15.268013,14.951549,14.694639,0.011983,4.14618E-3,3.761352E-3,3.691773E-3,4.404613E-3
587742904477352364,5390,40,6,161,428,6,198.16689985,18.16624219,18.028555,16.464428,15.822256,15.528349,15.347718,0.01362,4.360065E-3,3.977979E-3,3.954622E-3,5.427078E-3
587742775639998481,5360,40,6,339,17,6,198.23856509,18.1013862,17.287012,15.274043,14.416325,14.042224,13.853737,0.010745,3.318989E-3,3.117355E-3,3.051441E-3,3.87309E-3
587742775639998482,5360,40,6,339,18,3,198.19974687,18.10889775,17.305687,15.370823,14.538601,14.173141,13.995054,0.010844,3.324949E-3,3.122717E-3,3.13705E-3,3.883137E-3
587742775639998488,5360,40,6,339,24,6,198.25013246,18.10555628,17.940554,16.394728,15.725881,15.439794,15.282514,0.015442,3.821002E-3,3.453367E-3,3.455922E-3,5.277549E-3
587742775639998498,5360,40,6,339,34,6,198.22768507,18.10126779,18.572536,17.19907,16.593489,16.345617,16.218702,0.022574,4.598579E-3,4.108116E-3,4.271146E-3,7.768412E-3
587742775640000364,5360,40,6,339,1900,6,198.2193712,18.10177263,22.829887,21.598503,21.236551,21.226662,21.38353,0.740845,0.06806,0.076181,0.125493,0.467265
587742904477352368,5390,40,6,161,432,6,198.16492335,18.17455782,18.265255,16.828026,16.241125,15.964025,15.802244,0.015449,4.599865E-3,4.183501E-3,4.21638E-3,6.464449E-3
587742904477352374,5390,40,6,161,438,6,198.16805298,18.15282383,18.121843,16.848545,16.957952,17.053886,17.09338,0.014506,4.566316E-3,4.792524E-3,5.567048E-3,0.012418
587742904477352377,5390,40,6,161,441,6,198.17440568,18.20180925,18.416368,16.997927,16.430977,16.166779,16.002829,0.016804,4.706804E-3,4.266151E-3,4.278833E-3,6.969994E-3
587742775639998483,5360,40,6,339,19,6,198.22901257,18.09308036,17.347809,15.560652,14.816188,14.491647,14.325671,0.011172,3.39668E-3,3.186792E-3,3.178662E-3,4.13493E-3
587742775639998490,5360,40,6,339,26,6,198.20489724,18.10473751,17.861614,16.573696,16.121553,15.934736,15.947639,0.014667,3.893651E-3,3.686622E-3,3.830617E-3,6.821594E-3
587742775639998494,5360,40,6,339,30,6,198.18727572,18.10814808,18.459761,17.037754,16.426992,16.166485,16.043983,0.020876,4.342795E-3,3.879489E-3,4.078356E-3,7.153524E-3
587742775639999109,5360,40,6,339,645,6,198.17601509,18.11701881,20.073126,18.873278,18.367077,18.164953,18.115789,0.065429,9.157133E-3,8.224228E-3,9.524751E-3,0.025453
587742775639999110,5360,40,6,339,646,6,198.17651708,18.11626768,22.618832,21.284212,21.115116,21.108635,20.996294,0.568299,0.048946,0.065781,0.101861,0.293614
587742775639999111,5360,40,6,339,647,6,198.17775604,18.11691527,25.79431,22.534683,22.071743,21.939306,23.014332,1.049891,0.129818,0.136299,0.197124,0.774788
587742775639999246,5360,40,6,339,782,6,198.20488175,18.09826677,20.870287,20.0191,19.649405,19.601503,19.425171,0.121502,0.018839,0.019638,0.028485,0.073304
587742775640000162,5360,40,6,339,1698,6,198.1873481,18.11407925,23.99296,22.021656,21.68218,21.662987,21.672266,1.495463,0.084299,0.097192,0.155997,0.485567
587742775640000450,5360,40,6,339,1986,6,198.23085924,18.09715749,23.596363,22.313131,21.51405,21.761862,22.640785,1.184582,0.110647,0.085274,0.177305,0.797504
587742775640000451,5360,40,6,339,1987,6,198.23040181,18.09777908,24.57527,22.165739,21.759048,21.663,22.019112,1.790718,0.100424,0.10845,0.16674,0.648854
587742775640000592,5360,40,6,339,2128,6,198.25212512,18.1036193,26.596819,22.92878,22.852512,22.629833,22.446413,0.527842,0.182409,0.26937,0.37186,0.739718
587742904477352357,5390,40,6,161,421,6,198.15953577,18.18458573,17.447723,15.288276,14.421909,16.230907,13.925512,0.010204,3.999088E-3,3.680344E-3,0.014206,3.945553E-3
587742904477352370,5390,40,6,161,434,6,198.16173555,18.14011581,17.965473,16.716307,16.824034,16.903017,16.93222,0.013449,4.45523E-3,4.627064E-3,5.293525E-3,0.011296
587742904477352375,5390,40,6,161,439,6,198.16887348,18.12015882,18.168358,16.888092,17.012245,17.091536,17.095839,0.014913,4.655476E-3,4.921339E-3,5.692593E-3,0.012449
587742904477352378,5390,40,6,161,442,6,198.15488948,18.14523279,18.044344,16.873154,16.510891,16.334789,16.235092,0.013965,4.566075E-3,4.37159E-3,4.547042E-3,7.782666E-3
587742904477354945,5390,40,6,161,3009,6,198.15597688,18.16813318,23.694038,23.235647,22.777079,23.078426,22.360395,0.765645,0.193772,0.187174,0.423908,0.668944
587742775639998486,5360,40,6,339,22,6,198.2624188,18.0953026,17.842382,16.273653,15.598849,15.311334,15.155853,0.01463,3.764602E-3,3.425337E-3,3.405624E-3,5.089025E-3
587742775639998495,5360,40,6,339,31,6,198.21703734,18.0922246,18.453785,17.090893,16.483528,16.230118,16.093077,0.020975,4.407069E-3,3.960654E-3,4.133299E-3,7.287849E-3
587742775639999301,5360,40,6,339,837,6,198.21160445,18.09081127,23.375835,21.355495,19.832541,18.462725,17.659405,1.003216,0.049009,0.020945,0.011555,0.018191
