objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587729747911442457,2327,40,4,49,25,3,229.65184266,1.98591911,18.221579,17.213755,16.92399,16.844934,16.813913,0.01802,4.458626E-3,4.577808E-3,5.038032E-3,0.014972
587729747911442451,2327,40,4,49,19,6,229.6594709,1.9864138,19.311991,18.236834,17.901663,17.834246,17.786692,0.027927,6.422397E-3,6.47885E-3,7.096351E-3,0.020346
587729747911377084,2327,40,4,48,188,6,229.62805421,1.98123452,16.487667,15.285154,14.928952,14.897058,14.77968,6.527253E-3,3.276502E-3,3.448689E-3,4.053861E-3,4.724027E-3
587729747911379468,2327,40,4,48,2572,6,229.61714728,1.98423594,24.116709,21.858595,21.102068,20.746252,20.586016,1.03257,0.071364,0.046567,0.057019,0.194459
587729747911442452,2327,40,4,49,20,6,229.65362768,1.98422335,19.303474,18.254786,17.88966,17.831085,17.819216,0.027955,6.512038E-3,6.500596E-3,7.135734E-3,0.020818
587729747911442456,2327,40,4,49,24,6,229.65427744,1.98268923,19.389593,18.327042,18.175177,17.940813,17.94599,0.029496,6.73144E-3,7.655331E-3,7.519622E-3,0.022839
587726015627594508,1458,40,4,701,2828,6,229.7438075,2.07767363,25.049559,22.911726,21.848347,21.492714,21.666584,1.031187,0.167774,0.097591,0.112776,0.527679
587729747911377073,2327,40,4,48,177,6,229.59686556,1.98786085,16.276146,15.563833,14.986202,15.303192,13.015806,7.956634E-3,0.011784,0.011257,0.013074,6.408042E-3
587729747911377085,2327,40,4,48,189,3,229.59590552,1.98703406,17.272699,15.847467,15.118182,14.899707,14.794677,9.478899E-3,3.639427E-3,3.472993E-3,3.961743E-3,5.43621E-3
587729747911378601,2327,40,4,48,1705,6,229.62792258,1.97568144,25.58655,21.947258,21.366774,20.946486,20.880716,0.817917,0.07724,0.05839,0.068799,0.25403
587729747911442437,2327,40,4,49,5,6,229.66166995,1.97964489,16.088276,14.622668,14.210171,17.216522,13.956836,5.602689E-3,3.248723E-3,3.603775E-3,0.016341,3.990633E-3
587729747911442441,2327,40,4,49,9,6,229.66406978,1.98101824,17.07822,15.396148,14.769604,19.83773,14.311511,8.285625E-3,3.350718E-3,3.638916E-3,0.049908,4.222713E-3
587729747911442443,2327,40,4,49,11,6,229.65326629,1.9764097,18.9067,17.584177,17.054195,16.895231,16.790297,0.021755,5.023652E-3,4.842659E-3,5.161878E-3,0.010811
587729747911444637,2327,40,4,49,2205,6,229.6660379,1.983089,23.323601,21.218468,20.60704,20.379442,20.478952,0.666595,0.042202,0.034917,0.036535,0.193181
587726015627591726,1458,40,4,701,46,6,229.74607806,2.05969617,18.941572,17.635712,17.149313,16.97213,16.888083,0.022508,5.492772E-3,5.46821E-3,5.722194E-3,0.012307
587726015627594512,1458,40,4,701,2832,6,229.74465386,2.11519914,22.425846,21.099085,20.606365,20.457338,20.113895,0.304759,0.03711,0.034943,0.04645,0.147827
587726015627594515,1458,40,4,701,2835,6,229.74377237,2.05584915,24.122799,22.540228,21.538687,21.288799,20.856558,0.994217,0.122616,0.074869,0.094672,0.277879
587726015627595388,1458,40,4,701,3708,6,229.74657841,2.0556063,24.513186,23.80088,22.664143,21.957851,22.385811,1.106081,0.345755,0.196885,0.169733,0.79354
587726015627595390,1458,40,4,701,3710,6,229.74893357,2.0975442,25.753275,23.507557,22.675472,22.0935,21.746986,0.693718,0.270073,0.19889,0.190625,0.560251
587729747911377090,2327,40,4,48,194,6,229.61491631,1.97714596,17.192875,16.040899,15.643433,15.597322,15.492123,8.879928E-3,3.548732E-3,3.735686E-3,4.33007E-3,5.944523E-3
587729747911378598,2327,40,4,48,1702,6,229.62927277,1.97508358,20.336531,19.262243,19.035706,18.825678,18.922167,0.058776,0.011132,0.011336,0.013499,0.049622
587729747911378599,2327,40,4,48,1703,3,229.62882443,1.97309236,22.030161,20.507769,19.947454,19.617405,19.603428,0.272219,0.028339,0.022924,0.027035,0.106041
587729747911378600,2327,40,4,48,1704,6,229.62972883,1.97369131,22.064835,20.921993,20.55731,20.172787,20.378731,0.235714,0.03434,0.031104,0.03645,0.1679
587729747911442442,2327,40,4,49,10,6,229.66695806,1.97816693,18.234133,17.083359,17.067894,17.165684,17.230846,0.014811,4.347722E-3,4.916801E-3,5.57365E-3,0.014105
587729747911442447,2327,40,4,49,15,6,229.67650777,1.97621757,19.238848,18.083588,17.623407,17.543945,17.478699,0.026638,6.010363E-3,5.861749E-3,6.341987E-3,0.016488
587729747911442449,2327,40,4,49,17,3,229.67261091,1.97828816,18.920694,17.865738,17.518343,17.308443,17.338985,0.024561,5.588145E-3,5.638785E-3,5.895499E-3,0.017625
587729747911442516,2327,40,4,49,84,6,229.65190202,1.97191416,21.079077,20.086596,19.693298,19.627098,19.596252,0.100675,0.018065,0.017222,0.020126,0.085751
587729747911444564,2327,40,4,49,2132,6,229.65007081,1.97327511,25.74065,21.925198,21.197014,21.036896,20.773315,0.712088,0.073031,0.054927,0.060027,0.232716
587729747911445252,2327,40,4,49,2820,6,229.64907581,1.97190785,25.569836,25.166714,22.773312,22.620779,22.367949,0.799789,0.618953,0.209976,0.230954,0.716934
587729747911445258,2327,40,4,49,2826,3,229.65126024,1.97460663,24.043564,23.699224,21.752771,21.702225,21.145416,1.232683,0.390571,0.109026,0.136381,0.401718
587726015627591728,1458,40,4,701,48,6,229.74430027,2.04329674,19.079084,17.794577,17.306265,17.127407,17.048285,0.024325,5.769691E-3,5.667663E-3,6.014923E-3,0.013528
587726015627593146,1458,40,4,701,1466,6,229.74756933,2.11774838,22.120777,20.712513,20.269459,20.171898,19.952007,0.23554,0.02797,0.027535,0.036701,0.127665
587726015627594513,1458,40,4,701,2833,6,229.74522459,2.11389066,25.525526,22.763815,22.029444,21.63283,20.811716,0.808154,0.145014,0.114086,0.127114,0.268541
587726015627594517,1458,40,4,701,2837,6,229.7465724,2.11622024,23.410728,21.928083,21.264124,21.157167,20.87883,0.66456,0.071768,0.059443,0.084114,0.283171
587726015627594542,1458,40,4,701,2862,6,229.75073928,2.06097111,22.976341,21.625572,20.962561,20.771048,20.701685,0.473453,0.056984,0.04639,0.060553,0.24381
587729747911377072,2327,40,4,48,176,6,229.6151546,1.97137567,15.595879,14.459046,14.063464,16.722637,13.941261,4.809412E-3,3.177217E-3,3.40726E-3,0.015945,4.037896E-3
587729747911377078,2327,40,4,48,182,6,229.5933673,1.97825461,17.030506,15.4215,14.735513,14.89959,14.33512,8.247694E-3,3.37405E-3,3.474821E-3,0.012484,4.337992E-3
587729747911377581,2327,40,4,48,685,6,229.62242647,1.96759326,22.672655,21.169798,20.667011,20.199511,20.180668,0.398614,0.042112,0.03466,0.037232,0.146543
587729747911377729,2327,40,4,48,833,6,229.64472984,1.96671623,20.151066,19.172276,18.895481,18.694574,18.699812,0.053754,0.010751,0.010747,0.012761,0.043596
587729747911377732,2327,40,4,48,836,6,229.64317968,1.96649978,20.694595,19.726217,19.427702,19.15934,19.343603,0.077241,0.014769,0.014179,0.017194,0.069519
587729747911377734,2327,40,4,48,838,6,229.6470171,1.96706493,24.616714,21.102915,20.287937,19.777264,19.974062,1.177704,0.039179,0.025424,0.027018,0.119597
587729747911379986,2327,40,4,48,3090,6,229.59516697,1.97678821,22.711475,25.401142,23.015917,22.234755,22.500896,0.412043,0.641749,0.246451,0.205435,0.776713
587729747911442438,2327,40,4,49,6,6,229.66815843,1.97192868,16.681742,14.851708,14.218899,16.628862,13.666391,7.04294E-3,3.270708E-3,3.662789E-3,0.014552,3.845701E-3
587729747911442444,2327,40,4,49,12,6,229.66178672,1.97176738,19.00988,17.724968,17.20269,17.068485,16.960487,0.023253,5.257085E-3,5.071391E-3,5.404655E-3,0.011938
587729747911442446,2327,40,4,49,14,3,229.67672533,1.97410766,18.747835,17.734268,17.620777,17.311218,17.2953,0.020725,5.156386E-3,5.980353E-3,5.674566E-3,0.015797
587729747911442506,2327,40,4,49,74,6,229.64793957,1.96893849,19.824278,18.887648,18.588322,18.553514,18.479816,0.039581,8.82185E-3,8.903252E-3,0.010158,0.034318
