objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587742633347908305,5327,40,5,14,721,3,259.09885457,43.05548369,21.899597,21.403147,20.322432,20.045948,19.776203,0.278138,0.065321,0.036447,0.043037,0.094648
587742633347908330,5327,40,5,14,746,6,259.11518508,43.05151991,23.774618,21.664478,21.314741,21.02833,20.950724,0.90521,0.061405,0.061044,0.069289,0.176186
587742633347908332,5327,40,5,14,748,6,259.11104462,43.04991019,24.127186,22.540308,21.898531,21.768713,21.171827,1.038703,0.126937,0.100042,0.130315,0.211715
587742633347908376,5327,40,5,14,792,6,259.11769861,43.03714046,24.553997,22.100698,21.5114,21.20713,20.896158,1.126728,0.088786,0.072309,0.081334,0.170588
587742633347908390,5327,40,5,14,806,6,259.11424661,43.03087695,23.565765,22.23233,21.523859,21.464214,21.50391,0.822301,0.100166,0.074635,0.104199,0.282553
587742633347908398,5327,40,5,14,814,6,259.12197697,43.02676717,22.411385,21.212841,20.709953,20.58198,20.629784,0.32424,0.042465,0.037075,0.047642,0.135312
587742633347908399,5327,40,5,14,815,6,259.12370166,43.02787531,22.411861,21.620968,21.12723,20.898981,20.72756,0.324427,0.058963,0.052129,0.0623,0.147395
587742633347908400,5327,40,5,14,816,6,259.12913484,43.02892377,24.177242,22.069889,21.551241,21.240959,21.485775,1.091032,0.087596,0.094399,0.085589,0.284928
587742633347908417,5327,40,5,14,833,6,259.12769425,43.0246687,23.886391,23.069115,22.240786,21.965763,21.579023,0.956785,0.200235,0.134443,0.156349,0.28904
587742633347908424,5327,40,5,14,840,6,259.12906207,43.02286156,25.485525,22.731569,22.168243,22.12965,21.389334,0.800084,0.149771,0.125986,0.179193,0.247698
587742633347908425,5327,40,5,14,841,6,259.13783609,43.02404775,24.453573,22.356466,21.307974,20.895765,20.56254,1.116384,0.1092,0.060414,0.061993,0.12772
587742633347908426,5327,40,5,14,842,6,259.12776588,43.01980018,22.763832,21.775482,21.082697,20.916544,20.522358,0.445898,0.068103,0.051325,0.065089,0.127127
587742633347908433,5327,40,5,14,849,6,259.13846735,43.02029487,22.471796,21.365786,20.875778,20.759039,20.751842,0.335617,0.048184,0.042159,0.055283,0.149166
587742633347908435,5327,40,5,14,851,6,259.14196864,43.02111476,25.203491,23.101501,22.066257,21.97967,21.047449,0.982431,0.204421,0.114887,0.157292,0.191073
587742633347908436,5327,40,5,14,852,6,259.14112297,43.02241572,25.655024,23.619989,22.365826,21.958378,21.326183,0.750701,0.319038,0.152824,0.159666,0.246028
587742633347908446,5327,40,5,14,862,6,259.13779082,43.01672193,22.019665,21.109766,20.662066,20.558157,20.629595,0.229401,0.039472,0.035604,0.046948,0.135608
587742633347908755,5327,40,5,14,1171,6,259.08741809,43.05814341,23.086927,23.504105,22.668594,22.526604,22.150839,0.607646,0.311258,0.214816,0.279853,0.464187
587742633347908757,5327,40,5,14,1173,3,259.08802084,43.05660997,26.346378,23.06646,21.947536,21.315418,20.823523,0.759034,0.364688,0.194926,0.169512,0.310294
587742633347908758,5327,40,5,14,1174,3,259.09248521,43.05722428,23.178301,23.634455,22.091429,21.55245,21.915371,0.801098,0.425451,0.161095,0.150198,0.508297
587742633347908760,5327,40,5,14,1176,3,259.10676287,43.06030174,22.97187,23.473732,22.051899,22.050215,21.625689,0.626105,0.341561,0.142535,0.212043,0.376525
587742633347908769,5327,40,5,14,1185,6,259.10085858,43.05423355,25.105667,24.203613,22.680836,22.200533,21.940327,0.991513,0.475475,0.198377,0.190523,0.370224
587742633347908793,5327,40,5,14,1209,3,259.12170722,43.04678506,24.88059,24.545517,22.551508,22.207739,22.970287,1.071795,0.569608,0.175581,0.190606,0.470896
587742633347908794,5327,40,5,14,1210,6,259.10651935,43.04101985,24.924965,23.33465,22.21311,21.796392,21.932564,1.07261,0.248372,0.1312,0.133444,0.363632
587742633347908801,5327,40,5,14,1217,6,259.11599023,43.03927772,25.405533,24.16011,22.424881,22.154188,22.059324,0.870879,0.481617,0.163788,0.190395,0.40936
