objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587736980641808512,4011,40,4,132,128,6,251.7454285,47.52741707,18.130617,15.95665,15.144925,14.952088,14.36797,0.026312,4.42901E-3,3.885063E-3,0.012513,5.378535E-3
587736980641808494,4011,40,4,132,110,3,251.74407849,47.52688441,11.732305,10.144274,9.652772,10.061945,9.380326,2.299368E-3,1.461875E-3,1.462477E-3,6.942276E-3,1.650632E-3
587736980641808495,4011,40,4,132,111,6,251.74278884,47.52654186,24.639069,17.188925,16.239182,15.034649,14.776896,3.465549,7.471499E-3,5.662125E-3,0.012554,6.164478E-3
587736980641808499,4011,40,4,132,115,6,251.74217971,47.52767877,18.541084,16.030403,14.770399,16.772842,13.993454,0.032318,4.515023E-3,3.58398E-3,0.019111,4.775462E-3
587736980641808501,4011,40,4,132,117,6,251.74670982,47.5265621,19.791939,16.791481,15.272881,16.825027,14.26585,0.084923,6.15804E-3,4.17748E-3,0.018599,5.28395E-3
587736980641808510,4011,40,4,132,126,6,251.74719973,47.52651018,20.143568,16.101162,14.930238,16.898468,14.193365,0.116158,4.418884E-3,3.69131E-3,0.020102,4.977182E-3
587736980641808496,4011,40,4,132,112,6,251.74558507,47.52446324,17.101521,15.341752,14.853268,18.891851,14.518052,0.010557,4.005994E-3,3.827899E-3,0.061761,5.509098E-3
587736980641808497,4011,40,4,132,113,6,251.74574224,47.52484866,19.457962,16.153549,14.927091,16.673159,14.033742,0.067312,4.702478E-3,3.767302E-3,0.017077,4.770649E-3
587736980641808498,4011,40,4,132,114,3,251.7458585,47.53278822,18.027082,15.46108,14.179002,15.372345,13.449535,0.018289,3.480086E-3,2.907894E-3,0.013105,3.907153E-3
587736980641808500,4011,40,4,132,116,6,251.74439774,47.52536543,24.639627,16.570652,15.805975,24.377071,14.519149,3.062237,5.388664E-3,4.640434E-3,2.782191,5.618389E-3
587736980641808507,4011,40,4,132,123,6,251.74207065,47.52237651,24.637739,16.392391,15.096437,19.532055,13.997268,2.066354,4.463472E-3,3.988944E-3,0.070608,4.88308E-3
587736980641808508,4011,40,4,132,124,6,251.74069039,47.51912838,19.365349,16.385744,15.249427,15.424596,14.50336,0.032699,4.148609E-3,3.708313E-3,0.012446,4.997841E-3
587736980641808509,4011,40,4,132,125,6,251.74793499,47.53268983,18.972857,16.394251,15.408575,14.946081,14.751565,0.029181,4.436662E-3,3.768885E-3,4.134787E-3,5.472931E-3
587736980641808515,4011,40,4,132,131,6,251.75756753,47.52652451,18.439445,15.833562,14.824071,17.559113,14.151766,0.019033,3.686926E-3,3.34346E-3,0.020633,4.581818E-3
587736980641808502,4011,40,4,132,118,3,251.76170032,47.50588769,17.539639,13.115222,12.841791,12.960705,14.249659,0.287158,2.858478E-3,3.116886E-3,0.011467,0.057638
587736980641808503,4011,40,4,132,119,6,251.72343494,47.50619596,19.129328,16.389774,15.282229,14.840875,14.600255,0.025816,4.111209E-3,3.536583E-3,4.130458E-3,4.948294E-3
587736980641808504,4011,40,4,132,120,6,251.71225562,47.52120744,19.198799,16.016134,14.655241,16.194613,13.785062,0.026874,3.891258E-3,3.384083E-3,0.01362,4.443758E-3
587736980641808505,4011,40,4,132,121,6,251.72159841,47.54482849,19.089756,15.92455,14.596018,17.14979,13.76195,0.025178,3.894723E-3,3.35463E-3,0.0163,4.474355E-3
587736980641808511,4011,40,4,132,127,6,251.72234743,47.5193738,17.010588,15.598976,15.123785,15.038406,14.979089,8.578075E-3,3.695151E-3,3.42144E-3,4.252599E-3,5.394904E-3
587736980641808513,4011,40,4,132,129,6,251.72976422,47.53016729,19.165838,16.125286,14.880677,16.443819,14.093654,0.02763,4.103024E-3,3.553244E-3,0.014142,4.681868E-3
587736980641808514,4011,40,4,132,130,6,251.73664362,47.54632072,17.816849,15.921113,15.209445,14.969182,14.876957,0.012392,3.809465E-3,3.438248E-3,4.03474E-3,5.240806E-3
